time,real,sarimax,xgb,hybrid
2016-06-01,0.0,0.3236664518009924,-0.5262795,0.0
2016-07-01,0.0,0.1321568253411822,-1.1901633,0.0
2016-08-01,0.0,0.1026330123625238,-1.0136174,0.0
2016-09-01,0.0,0.21739746991139688,0.07105488,0.0004117503412999213
2016-10-01,0.5,0.20314060927179298,0.19003052,0.49519614898599684
2016-11-01,0.0,0.30575806514824483,0.22997181,0.004313157871365547
2016-12-01,0.0,0.6987659044734652,0.29457048,0.007076598238199949
2017-12-01,0.5,0.4702825760956519,0.31112543,0.4952075742185116
2018-01-01,16.0,1.0308350073834396,4.290867,11.902529001235962
2018-02-01,12.0,1.1375385724001021,5.0156703,9.143068313598633
2018-03-01,0.5,0.3254334720580203,5.125459,2.433453619480133
2018-04-01,5.0,0.28961465739433706,9.831286,8.87364012002945
2018-05-01,0.5,0.1220909934489385,0.42682812,0.49745292495936155
2018-06-01,0.0,0.07500279004418735,1.069423,0.0932706817984581
2018-07-01,0.0,0.05473168628725712,0.010924967,9.733888873597607e-06
2018-08-01,0.0,0.1504416851165195,0.0178721,2.6049376174341887e-05
2018-09-01,0.0,0.18968817871891935,0.022748886,4.2205239878967404e-05
2018-10-01,0.5,0.32195795271553407,0.23650645,0.49491772521287203
2018-11-01,0.0,0.8093819076672756,0.21530543,0.0037805596366524696
2018-12-01,2.0000000000000004,0.6648958185226062,1.5253458,1.940953835844994
2019-01-01,0.5,1.4556028930769545,0.47462678,0.4990178570151329
2019-02-01,0.5,1.2511114560537184,1.6671681,0.6586934179067612
2019-03-01,9.000000000000002,0.64975222714226,3.830939,7.385035455226899
2019-04-01,0.0,0.41281040101026995,0.4855839,0.019229795783758163
2019-05-01,0.0,0.2714129916715142,2.0999885,0.3596498966217041
2019-06-01,0.5,0.16503940171380077,0.12889649,0.4960989386308938
2019-07-01,0.0,0.0979583586385696,0.0792118,0.0005117123364470899
2019-08-01,0.0,0.1453633160384738,0.08490528,0.0005879163509234786
2019-09-01,10.000000000000002,0.13344791461253883,3.499661,8.144725918769836
2019-10-01,0.0,0.2582554846792023,1.2964942,0.13708417117595673
2019-11-01,0.0,0.7286492113522671,3.621555,1.0696367025375366
2019-12-01,5.0,0.5847158675643976,1.4776294,4.575530305504799
2020-01-01,0.0,1.3646521622003616,0.12962799,0.001370388432405889
