time,real,sarimax,xgb,hybrid
2016-06-01,0.5,0.4568196361587694,1.3302833,0.5032306495122612
2016-07-01,0.0,0.28852180582069387,1.1133679,0.003625730983912945
2016-08-01,0.0,0.19951468775168543,1.1133679,0.003625730983912945
2016-09-01,0.0,0.5547951574547856,1.903041,0.010592890903353691
2016-10-01,0.0,0.535647895474043,1.903041,0.010592890903353691
2016-11-01,0.0,0.6501164460747572,1.903041,0.010592890903353691
2016-12-01,0.5,1.0338333026864608,1.903041,0.507809741422534
2017-12-01,1.0,0.9283352649020807,2.4410822,1.0102893840521574
2018-01-01,1.0,1.8514487720283914,2.022858,1.006051979959011
2018-02-01,0.5,1.859259657692086,11.704348,0.8835764825344086
2018-03-01,0.5,1.4592094989012903,11.286127,0.8560645282268524
2018-04-01,6.0,0.4226829150360329,4.0451736,5.97687054798007
2018-05-01,0.5,0.16655107656868806,1.2171978,0.5025533945299685
2018-06-01,0.5,0.043173542590002195,2.3591223,0.5128285214304924
2018-07-01,0.0,-0.008620319494310913,1.1133679,0.003625730983912945
2018-08-01,0.0,0.3659810057661223,1.1133679,0.003625730983912945
2018-09-01,0.0,0.4059997975290398,1.903041,0.010592890903353691
2018-10-01,0.0,0.5855589331325721,1.903041,0.010592890903353691
2018-11-01,1.0,1.0821971658031146,1.903041,1.0050265919417143
2018-12-01,32.0,1.5304983077226906,12.678645,31.283478885889053
2019-01-01,0.0,2.545350449521736,11.198882,0.36683225631713867
2019-02-01,65.99999999999997,2.5072535980727895,33.241753,62.814900398254366
2019-03-01,86.0,2.0104448544940814,27.436514,81.30025792121887
2019-04-01,0.0,0.8917633270900565,15.134498,0.6699682474136353
2019-05-01,0.0,0.5689630445293817,5.801862,0.09845844656229019
2019-06-01,0.0,0.3199605072539276,0.7922438,0.0018358444795012474
2019-07-01,0.0,0.09611760564878406,1.1133679,0.003625730983912945
2019-08-01,0.0,0.3228456810030788,1.1133679,0.003625730983912945
2019-09-01,0.0,0.2508361186113134,1.903041,0.010592890903353691
2019-10-01,0.0,0.38018166687139154,1.903041,0.010592890903353691
2019-11-01,1.0,0.8331175275529514,1.903041,1.0050265919417143
2019-12-01,0.0,1.2428782143493358,1.903041,0.010592890903353691
2020-01-01,0.0,2.2305385923376253,1.903041,0.010592890903353691
2020-02-01,0.5,2.2234268344149193,2.9671845,0.5214123576879501
