time,temp,tmin,tmax,txmn,txmx,prcp,pres,tsun,name,country,region,latitude,longitude,elevation
1980-01-01,26.6,,,,,0.0,1010.2,,Tumbes,PE,TU,-3.55,-80.4,25
1980-02-01,27.1,,,,,15.0,1010.1,,Tumbes,PE,TU,-3.55,-80.4,25
1980-03-01,27.6,,,,,12.0,1008.6,,Tumbes,PE,TU,-3.55,-80.4,25
1980-04-01,26.9,,,,,143.0,1008.8,,Tumbes,PE,TU,-3.55,-80.4,25
1980-05-01,26.5,,,,,,,,Tumbes,PE,TU,-3.55,-80.4,25
1980-06-01,25.3,,29.7,,,,1010.1,,Tumbes,PE,TU,-3.55,-80.4,25
1980-07-01,23.3,,,,,0.0,1010.8,,Tumbes,PE,TU,-3.55,-80.4,25
1980-08-01,22.4,,26.7,,,0.0,1011.0,,Tumbes,PE,TU,-3.55,-80.4,25
1980-09-01,22.7,,,,,0.0,1011.0,,Tumbes,PE,TU,-3.55,-80.4,25
1980-10-01,23.5,,,,,0.0,1011.1,,Tumbes,PE,TU,-3.55,-80.4,25
1980-11-01,23.7,,,,,0.0,1010.7,,Tumbes,PE,TU,-3.55,-80.4,25
1980-12-01,25.0,,,,,0.0,1010.0,,Tumbes,PE,TU,-3.55,-80.4,25
1981-01-01,25.9,,,,,,,,Tumbes,PE,TU,-3.55,-80.4,25
1981-02-01,26.2,,,,,0.0,1008.8,,Tumbes,PE,TU,-3.55,-80.4,25
1981-03-01,27.0,,,,,22.0,1009.6,,Tumbes,PE,TU,-3.55,-80.4,25
1981-04-01,26.7,,,,,,,,Tumbes,PE,TU,-3.55,-80.4,25
1981-05-01,23.7,,,,,0.0,1010.0,,Tumbes,PE,TU,-3.55,-80.4,25
1981-06-01,23.4,,,,,0.0,1011.3,,Tumbes,PE,TU,-3.55,-80.4,25
1981-07-01,22.9,,,,,0.0,1011.3,,Tumbes,PE,TU,-3.55,-80.4,25
1981-08-01,20.8,,,,,0.0,1011.7,,Tumbes,PE,TU,-3.55,-80.4,25
1981-09-01,23.1,20.2,27.4,,,0.0,1011.0,,Tumbes,PE,TU,-3.55,-80.4,25
1981-10-01,22.1,,,,,0.0,1011.1,,Tumbes,PE,TU,-3.55,-80.4,25
1981-11-01,23.8,,,,,0.0,1010.0,,Tumbes,PE,TU,-3.55,-80.4,25
1981-12-01,25.6,,,,,0.0,1009.6,,Tumbes,PE,TU,-3.55,-80.4,25
1982-01-01,26.3,,,,,0.0,1010.2,,Tumbes,PE,TU,-3.55,-80.4,25
1982-02-01,27.2,,,,,0.0,1009.3,,Tumbes,PE,TU,-3.55,-80.4,25
1982-03-01,27.0,,,,,0.0,1008.5,,Tumbes,PE,TU,-3.55,-80.4,25
1982-04-01,26.5,,,,,0.0,1009.9,,Tumbes,PE,TU,-3.55,-80.4,25
1982-05-01,25.6,,,,,0.0,1010.1,,Tumbes,PE,TU,-3.55,-80.4,25
1982-06-01,24.5,,,,,0.0,1010.3,,Tumbes,PE,TU,-3.55,-80.4,25
1982-07-01,23.8,,,,,0.0,1009.9,,Tumbes,PE,TU,-3.55,-80.4,25
1982-08-01,22.8,,,,,0.0,1010.2,,Tumbes,PE,TU,-3.55,-80.4,25
1982-09-01,23.6,,,,,2.0,1010.5,,Tumbes,PE,TU,-3.55,-80.4,25
1982-10-01,25.2,,,,,0.0,1009.2,,Tumbes,PE,TU,-3.55,-80.4,25
1982-11-01,27.0,,,,,,,,Tumbes,PE,TU,-3.55,-80.4,25
1982-12-01,27.5,,,,,370.0,1008.1,,Tumbes,PE,TU,-3.55,-80.4,25
1983-01-01,27.1,,,,,,,,Tumbes,PE,TU,-3.55,-80.4,25
1983-02-01,27.3,,,,,345.0,1007.5,,Tumbes,PE,TU,-3.55,-80.4,25
1983-03-01,27.4,,,,,515.0,1007.9,,Tumbes,PE,TU,-3.55,-80.4,25
1983-04-01,27.2,,,,,515.0,1007.9,,Tumbes,PE,TU,-3.55,-80.4,25
1983-05-01,27.1,,,,,889.0,1007.6,,Tumbes,PE,TU,-3.55,-80.4,25
1983-07-01,26.4,,,,,,1008.6,,Tumbes,PE,TU,-3.55,-80.4,25
1983-08-01,25.6,,,,,0.0,1011.4,,Tumbes,PE,TU,-3.55,-80.4,25
1983-09-01,24.8,,,,,0.0,1011.3,,Tumbes,PE,TU,-3.55,-80.4,25
1983-10-01,24.4,,,,,0.0,1011.2,,Tumbes,PE,TU,-3.55,-80.4,25
1983-11-01,24.9,,,,,0.0,1010.8,,Tumbes,PE,TU,-3.55,-80.4,25
